Tom's packing.,tom packing kuri ase
We're wealthy.,moi khan dhuni ase
We're winners.,moi khan toh jita manu
We're winning.,moi khan jiti ase
We're working.,moi khan kam kuri ase
We're worried.,moi khan jinta kuri ase
We've arrived.,moi khan toh ahi na ase
We've no time.,moi khan time nai
We've seen it.,moi khan dikeh se
Were you busy?,tui busy thakise?
Were you hurt?,tui jokhom baise?
Were you shot?,tui ke marise?
What a bummer!,mon duk hoise dey!
What a fiasco!,
What a hassle!,
What a relief!,mon aram baise!
What about us?,moi khan la toh kina?
What an idiot!,bhuttu ase kwa!
What did I do?,moi ki kurise?
What do I get?,moi ki bavo?
What happened?,ki hoise?
What is a UFO?,UFO ki ase?
What'll we do?,moi khan ki kurivo?
What's inside?,bithor dey ki ase?
When was that?,eitu kitiya thakise?
Where are you?,tui kute ase?
Where is Mary?,mary kute ase?
Where were we?,moi khan kute thakise?
Which is mine?,moi la kuntu ase?
Who hates you?,tuike kun khin lake?
Who helps her?,tai ke kun modot kurise?
Who hired you?,kun oethaise tuike?
Who is absent?,kun absent ase?
Who is hungry?, kun bhuuk laki ase?
Who said that?,kun koise?
Who wants tea?,kun ke chaa lake?
Who won today?,kun jite se?
Who's dieting?,kun diet kuri ase?
Who's driving?,kun jolai ase?
Who's winning?,kun jite ase?
Whose is this?,kun la ase?
Will she come?,eitu maiki ahivo?
You all right?,tui thik ase?
You are crazy.,tui bhi pagla ase
You are drunk!,tui oethina ase?
You are early.,tui jolti ahise.
You are lying.,tui misa koi ase
You are sharp.,tui dimag bhal ase
You are wrong.,tui galti ase
You can do it.,tui kurivole barivo
You have mail.,tui ke mail ase
You look busy.,tui kaam thaka nisana mile
You look fine.,tui thik dikeh
You look pale.,tui duk baina dikeh
You look sick.,tui bemaar dekhe
You must come.,tui ahivole lake
You must rest.,tui rest lobi
You must stay.,tui rukhivi
You need this.,tui ke eitu  lake
You needed me.,tui ke moi laki thakise
You seem busy.,
You should go.,tui javo lake
You stay here.,tui yaate thakivi
You want this?,tui ke eitu  lake?
You were mine.,tui moila thakise
You work hard.,tui thik thak kaam kure 
You'd love it.,tui kushi bavo
You'll go far.,tui duur javo
You're a doll!,tui doll ase!
You're a liar.,tui misa koi 
You're a nerd.,tui nerd ase
You're a snob.,tui snob ase
You're biased.,tui bishi biased ase
You're boring.,tui bishi alchi ase
You're bright.,tui dimag bhal ase
You're clever.,tui jhalak ase
You're crafty.,tui crafty ase
You're creepy.,tui toh bishi creepy ase
You're famous.,tui toh famous ase
You're greedy.,tui bishi bisare
You're grumpy.,tui grumpy ase
You're insane.,tui pagla ase
You're joking!,tui misa koi ase!
You're loaded.,tui toh bishi ase
You're losing.,tui haari ase
You're no fun.,tui toh alchi ase
You're pretty.,tui sundurr ase
You're single.,tui ekla ase
You're skinny.,tui patla ase
You're sleepy.,tui gomavo mon ase
You're sneaky.,tui bishi sneaky ase
You're stupid.,tui dimag nai
You're unfair.,tui thik nai
You've failed.,tui fail hoise
"A beer, please.","beer ekta ,morom bara"
"A coke, please.","ekta coke ,morom bara"
Act like a man.,mota nisana thakivi
Ain't she cute?,tai sundurr ase nahoi?
Allow me to go.,moi javole divi 
Am I not right?,moi thik nai naki?
Am I qualified?,moi qualify nai?
Apples are red.,apple toh laal ase
Are there kids?,baccha ase?
Are we friends?,moi khan saathi ase?
Are we leaving?,moi khan chaari ase?
Are we sinking?,moi khan dubii ase?
Are you afraid?,tui bhoii khai ase?
Are you coming?,tui ahivo?
Are you crying?,tui kaanti ase?
Are you famous?,tui famous ase?
Are you hiring?,tui  hire kuri ase?
Are you honest?,tui hosa khota koi?
Are you hungry?,tui bhuuk laki ase?
Are you insane?,tui pagla ase?
Are you joking?,tui misa koi ase?
Are you lonely?,tui hi ase?
Are you single?,tui ekla ase?
Are you sleepy?,tui gomavo mon ase?
Aren't you hot?,tui ke gorom nai?
Autumn is here.,autumn toh ahise
Be a good girl.,bhal maiki hobi
Be nice to her.,tai ke bhal bara ase
Blow your nose.,naag bhal bara bhilavi
Boats can sink.,boats toh duube
Both are alive.,tuita bhi jinta ase
Bring a camera.,camera anivi
Bring a shovel.,shovel anivi
Bring it to me.,osor dey anivi
Buy me a drink.,drink kinidivi
Call a plumber.,plumber ke madivi
"Calm down, son.","aste bara,bachha"
Can I eat this?,moi eitu khavole barivo?
Can I go first?,moi first javo bariv?
Can I have one?,moi ekta khavo dey?
Can I help you?,moi modot kuridivo?
Can I join you?,moi bhi ahivo?
Can I kiss you?,moi kiss kurivo?
Can I see that?,moi eitu  savole barivo?
Can I see this?,moi eitu savo dey?
"Can I see, too?",moi bhi savo barivo?
Can I sit down?,moi buhivo barivo?
Can I sit here?,moi yaate buhivo barivo?
Can I touch it?,moi thurivole barivo?
Can Tom see us?,tom moikhan ke dikeh?
Can we come in?,moi ahivo barivo?
Can you cancel?,tui cancel kuvole barivo?
Can you juggle?,tui juggle kurivole bare?
Can you see it?,tui dikeh?
Cash is better.,cash hi bhal ase
Catch the ball.,ball dhurivi
Cats are smart.,cats toh smart ase?
Change is good.,change toh bhal ase?
Check that out.,eitu sai savi toh
Check this out.,eitu sai savi
Close the door.,dorwaza bon kurivi
Close the gate.,gate bon kurivi
"Coffee, please.","coffee,morom bara"
Come back here.,yaatewapas ahivi
Come back home.,khor wapas ahivi
Come back soon.,jolti ahivi
Come down here.,niche dey ahivi
Contact my son.,moila baccha ke lok bavi
Cows eat grass.,guru gaas khai
Cows give milk.,guru duut dey
Cut it in half.,aatha dey kaati devi
Did I break it?,moi biya kurise?
Did I hurt you?,moi tuike duk dise?
Did I say that?,moi eitu koise?
Did I wake you?,moi tuike oethai dise?
Did Tom buy it?,tom bara kinise?
Did she say it?,eitu maiki bara koise?
Did you forget?,tui bahori se?
Did you get it?,tui eitu bujise?
Did you go out?,tui bahar jaise?
Did you say 30?,tui 30 koise?
Did you see it?,tui eitu dikeh se?
Dinner's ready.,bhaat ready hoise
Do I annoy you?,moi tuike disturb kure?
Do I need this?,moike eitu lake?
Do as you like.,tui kushi baanisana kurivi
Do as you want.,tui kina kushi bai eina kurivi
Do it this way.,eina kurivi
Do it tomorrow.,kali kurivi
Do it yourself.,tui nijor kurivi
Do not do that.,eitu nakurivi
Do tigers purr?,tigerr hala kure?
Do we know you?,moi khan tui ke jaane?
Do you deny it?,tui ahah koiase?
Do you hate me?,tui moike khin lake?
Do you hear me?,tui moike huune?
Do you know me?,tui moike jaane?
Do you know us?,tui moikhan ke jane
Do you like it?,tui kushi baise/
Do you love me?,tui moike kushi bai?
Do you mean us?,moi khan ke koi ase?
Do you miss it?,tui ke yaat ahai?
Do you promise?,tui promise koi ase na?
Do you read me?,tui moi ke bure?
Do you recycle?,tui recycle kure?
Does it matter?,kaam lake naki?
Does this hurt?,eitu duk bai?
Don't be angry.,gussa naoethi bi.
Don't be crazy.,pagla nahobi
Don't be crude.,crude nahobi
Don't be naive.,baccha nisana nathakibi
Don't be silly.,misa misi nathakibi
Don't be sorry.,morom nakuiri bi
Don't be upset.,mon biya nabavi
Don't blame me.,moi ke nakovi
Don't buy that.,eitu nikinivi
Don't complain.,complain nakurivi
Don't fall off!,nakirivi
Don't judge me.,moi ke judge nakurivi
Don't leave me.,moi ke nacharivi
Don't leave us.,moikhan ke nacharivi
Don't mind her.,tai ke biya napavi
Don't obey him.,taike obey nakurivi
Don't run here.,yaate nabolai bi
Don't say that.,eitu nakovi
Don't show off.,bishi nadikhai vi
Don't stand up.,khaara nahovi
Don't stop him.,tai ke narukhivi
Don't tease me.,moi ke nakhilivi
Don't tempt me.,moi tempt nakurivi
Don't touch it.,nachoibi
Don't touch me!,moi ke nachoi vi
Don't touch me.,
Don't you care?,morom nakure?
Drink some tea.,chaa olop kahvi
Drop me a line.,line chaRI DIVI
Eat everything.,Sob khavi
Eat more fruit.,fruit bishi khavi
Empty your bag.,bag khali kurivi
Enjoy the show.,show enjoy kurivi
Enjoy your day.,enjuy kurivi
Enter the room.,room bithor javi
Everybody knew.,sob manu jaani thakise
Everybody left.,sob manu chaarise
Everybody lies.,sob manu misa koi
Everybody paid.,sob manu dise
Everyone gasps.,sob manu gasps kure
Fight like men.,mota nisana chakra kurivi
Fishing is fun.,fishing toh fun ase
Form two lines.,tuita line boanvi
Get in the car.,car bhidor javi
Get in the van.,van bhidor javi
Get on the bus.,bus bhidor javi
Get on with it.,
Get out of bed!,bisna bahar jaavi
Get out of bed.,
Get rid of her.,taike chari vi
Get some sleep.,olop khomai lovi
Give him a hug.,taike hug divi
Give it a shot.,shot ekta divi
Give it to her.,eitu maiki ke divi
Give it to him.,eitu mota ke divi
Give me a beer.,moike beer divi
Give me a hand.,moi ke haat dey dibi
Give me a hint.,moike hint divi
Give me a kiss.,moike kiss divi
Go back to bed.,bisna wapas javi
Go get changed.,change kurivi
Go look for it.,jai kina bisarivi
Go right ahead.,shita javi
Go take a walk.,cho beravi olop
Go to the park.,park dey javi
Good afternoon.,din bhaal
Grab your gear.,tuila saaman thurivi
Guess who I am.,moi kun ase bhabi savi
Hand me my mug.,moi la mug divi
Happy New Year!,kushi ba nutun saal
Happy birthday!,jonom baa din kushi 
Happy holidays.,jutii baise kushi baise
Have you eaten?,tui kaise
Have you slept?,tui gomaise?
He almost died.,tai olop bara mura nai
He also saw it.,tai bara bhi dikeh se
He asked me to.,tai bara kurivi koise
He became rich.,tai rich hoise
He bit his lip.,taila lips dey kamori sey
He came by bus.,tai bus bara ahise
He came by car.,tai car bara ahise
He can't count.,tai count kurivole napare
He can't do it.,tai naparivo kurivole
He can't drive.,tai drive kurivole napare
He cannot swim.,tai swin kurivole napare
He could do it.,tai kurivole bari thakise
He counts fast.,tai jolti bureh
He deceived me.,tai moike jokaise
He deserved it.,tai ke laki thakise
He dislikes me.,tai moi ke gushi napai
He doesn't lie.,tai misa nakoi
He doesn't tan.,tai tan nahoi
He felt uneasy.,tai uneasy feel hoise
He flew a kite.,tai kite oeraise
He gazed at me.,tai moike gazed kurise
He got the job.,tai job baise
He has a beard.,taike beard ase
He has a lunch.,taike lunch ase
He has a point.,point toh ase taike
He has a video.,taike video ase
He has changed.,tai changed hoise
He has left us.,tai moikan ke charise
He has no fear.,taike fear nai
He has to come.,tai ahivole lake
He hated lying.,tai misa kwa kushi napai
He is American.,tai american ase
He is Canadian.,tai canadian ase
He is Japanese.,tai japanese ase
He is a doctor.,tai doctor ase
He is a genius.,tai genious ase
He is a writer.,tai writer ase
He is an actor.,tai actor ase
He is bankrupt.,tai bankrupt hoise
He is in Tokyo.,tai tokyo dey ase
He is my uncle.,tai moila uncle ase
He is outgoing.,
He is powerful.,tai powerful ase
He is well off.,tai ekdam raasta harai se
He keeps a cat.,tai billi raake
He lay face up.,tai face opor dey khomai
He likes jelly.,tai jelly kushi bai
He likes money.,tai poisa kushi bai
He lives alone.,tai ekla thake
He looked back.,tai wapas saise
He looked well.,tai bhal dikeh se
He looks tired.,tai duk baana dikeh
He looks young.,tai young dikeh
He lost a book.,tai kitab harai se
He loves music.,tai music kushi bai
He needs money.,taike poisa lake
He owes me one.,
He passed away.,tai muri jaise
He respects me.,tai moike respect kure
He sang a song.,tai gaana kai
He saw it also.,tai bhi dikeh se
"He saw it, too.",tai bara bhi dikeh se
He scolded her.,eitu mota bara eitu maiki ke gaali dise
He seems angry.,tai gussa dikeh ase
He seems happy.,tai khusi dikeh ase
He seems tired.,tai duk baina dikeh ase
He sells fruit.,tai fruit bikai
He should come.,tai ahivole lake
He slapped her.,eitu mota bara eitu moiki ke thappar dise
He sold us out.,tai moikhan ke bikai se
He surrendered.,tai surrender kurise
He talks a lot.,tai bishi khota koi
He trusted you.,tai tuike trust kurise
He walked away.,tai jai jaise
He wants to go.,tai javole mon ase
He was English.,
He was in pain.,tai duk dey thakise
He was invited.,tai key invite kurise
He was panting.,tai painting kuri thakise
He was patient.,tai patient thakise
He was perfect.,tai perfect thakise
He was stunned.,tai hila napara hoise
He went skiing.,tai dupei thakise
He went to bed.,tai bisna dey jaise
He will not go.,tai najvo
He worked hard.,tai mon dina kaam kurise
He works a lot.,tai bishi kaam kure
He's a big boy.,tai dangor mota hoise
He's a bit shy.,tai olop sorom khai
He's a gambler.,tai gambler ase
He's a man now.,tai dangor hoise
He's a slacker.,tai bishi alchi manu ase
He's all right.,tai thik ase
He's an author.,tai author ase
He's an ex-con.,tai ex con ase
He's an outlaw.,tai outlaw asw
He's depressed.,tai mon duk dey ase
He's henpecked.,
He's in danger.,tai danger dey ase
He's in prison.,tai prison dey ase
He's my friend.,tai moila saathi ase
He's not going.,tai najavo
He's not ready.,tai ready nai
He's so stupid.,tai iman pagla ase
He's too drunk.,tai bishi oethina ase
He's very open.,tai bishi ghulla ase
Hello everyone!,sob ke moila salaam
Here comes Tom.,tom ahi ase
Here is a book.,yaate ase kitab
Here is my key.,yaate ase moila jaabi
Here she comes.,eitu maiki ahi ase
Here's my room.,moila room yate ase
"Hey, what's up?","hoi,ki kuri ase?"
Hi! What's new?,"hi,ki nutun kuri ase"
His head ached.,taila matha ached ase
How can I help?,moi tuike kina motod kurivo?
How can I lose?,moi kina harivo?
How deep is it?,kiman deep ase?
How did I look?,kina dikeh se?
How did it end?,kina khotom hoise/
How did you do?,tui kina kurise?
How good is he?,eitu mota kiman bhal ase?
How high is it?,kima oeja ase?
How long is it?,kiman lamba ase?
How much is it?,kiman ase?
How tall is he?,tai kiman lamb ase?
How was Boston?,boston kina thakise?
How wide is it?,kiman wide thakise?
How's it going?,kina jai ase?
How's your job?,tuila kaam kina ase?
"Hurry up, guys.","jolti jol ,saathi khan"
I already know.,moi jani thakise
I am Hungarian.,moi hungarian ase
I am a shy boy.,moi sorom khaa mota ase
I am a student.,moi student ase
I am a teacher.,moi teacher ase
I am a tourist.,moi tourist ase
I am after him.,moi tai biche dey ase
I am an artist.,moi artist ase
I am exhausted.,moi duk baina ase
I am in London.,moi london dey ase
I am in a spot.,moi bhi duk det ase
I am not happy.,moi kushi nai
I am off today.,moi jai ase achi toh
I am too short.,moi bishi khata ase
I am very tall.,moi bishi lamba ase
I ate a banana.,moi banan khaise
I ate too much.,moi bishi khaise
I believe that.,moi believe kurise
I believed you.,moi tuike believe kure
I bike to work.,moi bike jolai kaam dey
I borrow money.,moi poisa loise
I bought a hat.,moi hat anise
I broke my arm.,moi la haat bangise
I broke my leg.,moila theng bangise
I brought mine.,moila anise
I brought wine.,moi wine anise
I called ahead.,moi bara madise
I came for you.,moi tui karne ahise
I can hear Tom.,moi tom ke hunivole bare
I can hear you.,moi huni vole barivo
I can help Tom.,moi tom ke modot kurivole barivo
I can help you.,moi help kurivo barivo
I can prove it.,moi prove kurivole barivo
I can't get in.,moi bhidor javole napare
I can't go out.,moi bahar javole napare
I can't see it.,moi savole napare
I can't use it.,moi use kurivole napare
I corrected it.,moi bara corrrect kurise
I decorated it.,moi bara decorate kurise
I deserve that.,moi deserve kure thaikise
I deserve this.,moi deserve kure
I did have fun.,moi fun toh kurise
I did warn you.,moi warn kurise nahoi
I didn't argue.,moi argue kura nai
I didn't cheat.,moi cheat kura nai
I didn't do it.,moi bara kura nai
I didn't drive.,moi jola nai
I didn't flunk.,moi flunk kura nai
I didn't laugh.,moi hassa nai
I didn't sleep.,moi khoma nai
I didn't speak.,moi khota kwa nai
I dislike eggs.,moi anda kushi napai
I do apologize.,moi maaf mangi ase
I do know that.,moi bhi jani thakise
I don't belong.,moi yaate la manu nahoi
I don't follow.,moi follow nakure
I don't gamble.,
I don't get it.,moi buji baanai
I don't gossip.,moi manu la biche khota nakoi
I enjoy movies.,moi movies enjoy kure
I fed the pigs.,moi pigs ke bhat didise
I feel ashamed.,moi toh sorom lakise
I feel blessed.,moi toh blessed feel kurise
I feel for you.,moi tui ke buji ase
I feel honored.,moi honored feel kure
I feel nothing.,moi ke eiku feel nakure
I feel so cold.,moi thanda laki ase
I feel strange.,
I feel trapped.,
I feel useless.,
I fell in love.,moi love dey kirise
I felt cheated.,moi ke cheat kura nisana lakise
I felt excited.,moi excited feel kurise
I followed him.,moi taike follow kurise
I followed you.,moi tuike follow kurise
I gave it away.,moi didise
I gave it back.,moi wapas didise
I gave my word.,moi la khota dise
I gave up hope.,moi hope chari dise
I get off here.,moi yaate olai ase
I get the idea.,moike idea ase
I get up early.,moi jolti oethe
I give my word.,moila khota dise
I go to school.,moi school dey jai
I got arrested.,moi ke thurise
I got confused.,moi confused khaise
I got divorced.,moi divorce hoise
I got expelled.,moi expelled khaise
I got nauseous.,moi ke nauseous ase
I grew up here.,moi yaate dangor hoise
I guarantee it.,moi guaranteee koi ase
I had a stroke.,moi ekbar stroke thakise
I had a vision.,moi vision toh thalkise
I had fun here.,moi yaate fun kurise
I had some fun.,moi olop toh fun kuri se
I had to do it.,moi alchi lake kurivole
I hate Mondays.,moi Monday khin lake
I hate Sundays.,moi sundays khin lake
I hate dancing.,moi dancing alchi lake
I hate dieting.,moi dieting alchi lake
I hate driving.,moi driving alchi lake
I hate her now.,moi taike khin lake
I hate insects.,moi insect alchi lake
I hate ironing.,moi iron kura alchi lake
I hate it here.,moi yaate alchi lake
I hate karaoke.,moi karaoke khin lake
I hate lawyers.,moi lawyers ke khin lake
I hate my boss.,moila malik ke khin lake
I hate my life.,moila life ke khin lake
I hate parties.,moi parties ke khin lake
I hate secrets.,moi secrets ke alchi lake
I hate spiders.,moi spiders ke khin lake
I hate spinach.,moi spinach ke khin lake
I hate to iron.,moi iron kurivole alchi lake
I hate to lose.,moi haarivole alchi lake
I hate to wait.,moi rukhivole alchi lake
I hate working.,moi kaam kura kushi napai
I hated school.,moi school ke khin lake
I have a dream.,moike sabna ase
I have a horse.,moike horse ase
I have a ranch.,moike ranch ase
I have a table.,moike table ase
I have a truck.,moi ke truck ase
I have amnesia.,moi ke amnesia ase
I have an idea.,moike idea ase
I have hiccups.,moi ke hiccups ase
I have no clue.,moi eiku najane
I have no food.,moike bhaat nai
I have no idea.,moike idea nai
I have no kids.,moike bachhha nai
I have no time.,moike time nai
I have nothing.,moike eiku nai
I have sisters.,moike bhoini ase
I have the flu.,moike flu ase
I have to stop.,moi rukhivole lake
I heard voices.,moi ke awaz hunise
I hiccup a lot.,moi hiccup bishi kure
I hurried home.,moi khorte jolti jaise
I hurt my foot.,moila theng ke dukk dise
I just gave up.,moi chari dise
I just guessed.,moi aine bhabi saala
I just met him.,moi taike eitiya lok baise
I keep a diary.,moi diary raakhe
I keep my word.,moila khota raakhe
I kept my word.,moila khota raakhise
I kept singing.,moi gaana kai thakise
I know the boy.,moi eitu mota jane
I left my wife.,moila wife chari dise
I let you down.,moi tui ke niche kurise
I like English.,moi english kushi bai
I like castles.,moi castles kushi bai
I like cookies.,moi cookies kushi bai
I like cooking.,moi cooking kushi bai
I like flowers.,moi flowers kushi bai
I like history.,moi history kushi bai
I like jogging.,moi jogging kushi bai
I like mahjong.,moi mahjong kushi bai
I like my life.,moi la life kushi bau
I like picnics.,moi picnics kushi bai
I like puzzles.,moi puzzles kushi bai
I like reading.,moi burivole kushi bai
I like running.,moi bolaivole kushi bai
I like seafood.,moi seafood kushi bai
I like singing.,moi gaana kushi bai
I like stories.,moi stories kushi bai
I like talking.,moi khota govole kushi bai
I like to sing.,moi gaana kawole kushi bai
I like to swim.,moi swim kurivole kushi bai
I like to talk.,moi khota kovole kushi bai
I like turtles.,moi turtle kushi bai 
I like walking.,moi berai thaka kushi bai
I like working.,moi kaam kura kushi bai
I lit the oven.,moi oven lit kurise
I live in Kobe.,moi kobe dey thake
I live in town.,moi town dey thake
I live upstate.,moi upstairs dey thake
I lost control.,moi control harai se
I lost my keys.,moi keys haraise
I lost the bet.,moi bet haraise
I love animals.,moi animals kushi bai
I love bananas.,moi bananas kushi bai
I love cookies.,moi cookies kushi bai
I love cooking.,moi cook kura kushi bai
I love flowers.,moi flower kushi bai
I love it here.,moi yaate kushi bai
I love lasagna.,moi lasagna kushi bai
I love my home.,moila khor kushi bai
I love my kids.,moila bachha kushi bai
I love my life.,moi la life kushi bai
I love my work.,moila kaam kushi bai
I love parties.,moi parties kushi bai
I love puzzles.,moi puzzles kushi bai
I love reading.,moi purivole kushi bai
I love secrets.,moi secrets kushi bai
I love sunsets.,moi sunsets kushi bai
I love the sun.,moi sun kushi bai
I love to cook.,moi cook kurivole kushi bai
I love to read.,moi purivole kushi
I love to swim.,moi swim kurivle kushi bai
I love winning.,moi jita kushi bai
I love you all.,moi tuikhan sob ke kushi bai
I made cookies.,moi cookies kinise
I made her cry.,moi eitu maiki ke gaanti vole dise
I made him cry.,moi taike gaanti vole dise
I made muffins.,moi muffins bonaise
I may be wrong.,moi galti thakivo
I mean no harm.,moi eiku biya nalake
I met a friend.,moi saathi lok baise
I met him once.,moi taike lok baise 
I miss college.,moi college miss kure
I missed a lot.,moi bishi missed kurise
I must buy one.,moi ekta kinivole lake
I must decline.,moi decline kurivole lake
I must protest.,moi protest kurivole lake
I must see you.,moi tuike savole lake
I need a drink.,moike drink lake
I need a favor.,moike favor lake
I need a knife.,moike knife lake
I need a snack.,moike snack lake
I need a stamp.,moike stamp lake
I need answers.,moike answer lake
I need friends.,moike saathi laake
I need it ASAP.,moike eitiya lake
I need support.,moike support lake
I need surgery.,moike surgery lake
I need to know.,moi janivole lake
I need to stop.,moi rukhivole lake
I need you now.,moike tui lake eitiya
I needed money.,moike paisa lakise
I noticed that.,moi dikeh ase
I often hiccup.,moi bishi baak hiccup kure
I often travel.,moi bishi baak berai thake
I owe him $100.,100dollar loi kina dikeh se
I own this car.,eitu kaaari moila ase
I paid in cash.,moi cash dise
I paid nothing.,moi eiku diya nai
I painted that.,moi bara paint kurise
I plead guilty.,moi guilty ase koi ase
I predicted it.,moi jani thakise
I promised Tom.,moi tom ke promise kurise
I quit smoking.,moi smoking charise
I raise cattle.,moi czttle ke sai
I ran upstairs.,moi opor dey bolai se
I realize that.,moi buji baise
I really tried.,moi duk baina ase
I remember her.,moi taike yaate ase
I remember now.,moi ke eitiya yaat ahise
I remember you.,moi yaat ase tuike
I said get out.,olai javi kwa
I said not now.,eitiya nahoi kwa
I said nothing.,moi eiku kwa nai
I said shut up!,chuup buhibhi kwa
I saw her home.,moi taike khor dey dikeh se
I saw her swim.,moi taike swim kurina dikeh se
I saw him jump.,moi taike jump marina dikeh sey
I saw him once.,moi taike ekbar dikeh se
I saw it first.,moi first dikeh se
I saw it on TV.,moi tv ke dikeh se
I saw somebody.,moi kun bah ke dikeh se
I saw the cook.,moi cook ke dikeh se
I saw the file.,moi file ke dikeh se
I saw the game.,moi game dikeh se
I sell flowers.,moi flowers bikai
I serve no one.,moi kun ke bhi serve nakure
I should do it.,moi kuri vole lake
I smell coffee.,moi coffee khuntai
I sneeze a lot.,moi sneeze bishi kure
I speak French.,moi french koi
I started that.,moi shuru kuri se eitu toh
I study French.,moi fench bure
I study Korean.,moi korean bure
I sure am cold.,moi ekdam cold ase
I sure hope so.,moi bhaba thak toh
I take it back.,moi wapas loi ase
I teach French.,moi french hikai
I think we can.,moi  bhaba moikhan jitivole barivo
I thought hard.,moi bhabhise daan hobo
I took her arm.,moi daila haat lake
I travel light.,moilight travel kuri
I trusted them.,moi tuikhan ke trust kurise
I turned right.,moi right loi se
I urge caution.,aaste bara kurivi
I usually walk.,moi bishi bhaak toh berai
I walked alone.,moi kela berai
I want a chair.,moi ke chair divi
I want a donut.,moi ke donut lake
I want a drink.,moike bhi drink lake
I want a puppy.,moi ke puppy lake
I want a raise.,moike raise lake
I want answers.,moike answer lake
I want details.,moike details lake
I want justice.,moike justice lake
I want revenge.,moi ke revenge lake
I want the fan.,moike fan lake
