English,Nagamese
I'm so unlucky!,moi ke luck hi nai
I saw it first.,moi first dikeh se
Don't tempt me.,moi tempt nakurivi
I'm a musician.,moi toh musician ase
I bike to work.,moi bike jolai kaam dey
He's a bit shy.,tai olop sorom khai
I'm very tired.,moi duk baina ase
Be a good girl.,bhal maiki hobi
I enjoy movies.,moi movies enjoy kure
We must check.,moikhan check kurivole lake
We met before.,moi khan boila bhi lok baise
I often hiccup.,moi bishi baak hiccup kure
You're insane.,tui pagla ase
Don't be upset.,mon biya nabavi
How can I lose?,moi kina harivo?
I'm not a liar.,moi misa nakoi
Do you recycle?,tui recycle kure?
I'm not amused.,moi kushi baa nai
I miss college.,moi college miss kure
We're touched.,moi khan bishi touched feel kure
He has no fear.,taike fear nai
We're dieting.,moi khan diet kuri ase
I live in town.,moi town dey thake
I'm in the car.,moi gaari bithor ase
We're in love.,moikhan toh morom kure
He got the job.,tai job baise
Don't stand up.,khaara nahovi
I hate dieting.,moi dieting alchi lake
Have you slept?,tui gomaise?
I can hear you.,moi huni vole barivo
I'd be careful.,moi careful thakivo
Tom's working.,tom bishi kaam kure
We're special.,moi khan toh olop alak bhal ase
Go right ahead.,shita javi
He went skiing.,tai dupei thakise
He trusted you.,tai tuike trust kurise
Ain't she cute?,tai sundurr ase nahoi?
I'm a bit busy.,moi olob busy ase
Wait a minute.,ek minute rukhivi
We wanted you.,moikhan ke tui laki thakise
Do you promise?,tui promise koi ase na?
I'll come back.,moi wapas ahibo
I was attacked.,moi ke mariise 
He sells fruit.,tai fruit bikai
We're sincere.,moi khan sincere se
I had a stroke.,moi ekbar stroke thakise
You've failed.,tui fail hoise
I am a teacher.,moi teacher ase
I have a truck.,moi ke truck ase
I'm not pretty.,moi sundurr nai
I believe that.,moi believe kurise
Enjoy your day.,enjuy kurivi
I'll be inside.,moi bhidor dey thakivo
We could wait.,moi khan rukhivole bari thakise
We're in pain.,moikha duk bai ase
Was Tom there?,tom yate thakise?
I'm a salesman.,moi toh salesman ase
I should do it.,moi kuri vole lake
I hate to wait.,moi rukhivole alchi lake
Give me a hand.,moi ke haat dey dibi
I remember now.,moi ke eitiya yaat ahise
We're working.,moi khan kam kuri ase
Everyone gasps.,sob manu gasps kure
"Can I see, too?",moi bhi savo barivo?
I love winning.,moi jita kushi bai
I'm not insane.,moi pagla nahoi
You're no fun.,tui toh alchi ase
I guarantee it.,moi guaranteee koi ase
We're friends.,moi khan saathi ase?
I'm reasonable.,moi reasonable ase
He was invited.,tai key invite kurise
I hate karaoke.,moi karaoke khin lake
Buy me a drink.,drink kinidivi
Did I hurt you?,moi tuike duk dise?
Am I qualified?,moi qualify nai?
I made her cry.,moi eitu maiki ke gaanti vole dise
I'll cooperate.,moi kuri savo
I met a friend.,moi saathi lok baise
Are you single?,tui ekla ase?
I won't forget.,moi napahori bo
How did I look?,kina dikeh se?
I trusted them.,moi tuikhan ke trust kurise
He's so stupid.,tai iman pagla ase
I have no time.,moike time nai
Everybody knew.,sob manu jaani thakise
He sold us out.,tai moikhan ke bikai se
I was so happy.,moi iman kushi thakise
Fishing is fun.,fishing toh fun ase
Wait till six.,sic thak rukhivi
You are crazy.,tui bhi pagla ase
I brought mine.,moila anise
He is in Tokyo.,tai tokyo dey ase
I love to swim.,moi swim kurivle kushi bai
Happy holidays.,jutii baise kushi baise
I saw the game.,moi game dikeh se
I didn't sleep.,moi khoma nai
Don't blame me.,moi ke nakovi
I got confused.,moi confused khaise
"I'm happy, too.",moi bhi kushi bai ase
He dislikes me.,tai moi ke gushi napai
I am too short.,moi bishi khata ase
I wanted to go.,moi javole mon thakise
How high is it?,kima oeja ase?
He lives alone.,tai ekla thake
I've done that.,moi eitu kurise
Are you sleepy?,tui gomavo mon ase?
I saw somebody.,moi kun bah ke dikeh se
I'll stay here.,moi yaate thakivo
Apples are red.,apple toh laal ase
We're engaged.,mooikha engaged ase
Who won today?,kun jite se?
Do you know us?,tui moikhan ke jane
I can't see it.,moi savole napare
I called ahead.,moi bara madise
Don't obey him.,taike obey nakurivi
I'm used to it.,moi aadat hoise
I want the fan.,moike fan lake
What is a UFO?,UFO ki ase?
I can't get in.,moi bhidor javole napare
Does this hurt?,eitu duk bai?
I had fun here.,moi yaate fun kurise
He is my uncle.,tai moila uncle ase
Tom's unarmed.,tom la haat dey eiku nai
Don't be silly.,misa misi nathakibi
I love puzzles.,moi puzzles kushi bai
I want justice.,moike justice lake
Don't run here.,yaate nabolai bi
I ate a banana.,moi banan khaise
I'm undressing.,moi kapra olai ase
He looks tired.,tai duk baana dikeh
You should go.,tui javo lake
Were you shot?,tui ke marise?
I can help you.,moi help kurivo barivo
I'll treat you.,moi tuike treat kurivo
I'm a minister.,moi minister ase
We're not fit.,moi khan fit nai
I'm interested.,moi interest ase
You're a nerd.,tui nerd ase
Cows give milk.,guru duut dey
I'll trust you.,moi tuike trust kurivo
We're a group.,moi khan toh group ase
Do as you want.,tui kina kushi bai eina kurivi
What do I get?,moi ki bavo?
Do you hear me?,tui moike huune?
I want to live.,moi bhi jinta thakivole mon
Don't mind her.,tai ke biya napavi
Who is absent?,kun absent ase?
He has a beard.,taike beard ase
I urge caution.,aaste bara kurivi
What's inside?,bithor dey ki ase?
I broke my arm.,moi la haat bangise
You look fine.,tui thik dikeh
We have to go.,moi khan javole lake
I took her arm.,moi daila haat lake
You're joking!,tui misa koi ase!
I'm dead tired.,moi murivo nisana duk baise
I have amnesia.,moi ke amnesia ase
You must stay.,tui rukhivi
I need it ASAP.,moike eitiya lake
Which is mine?,moi la kuntu ase?
You stay here.,tui yaate thakivi
Wait a second.,ekta second rukhivi
I have no food.,moike bhaat nai
I have sisters.,moike bhoini ase
We're careful.,moi khan bhalbar akuriase
I'll apologize.,moi maap mangivo
I'll go anyway.,moi javole hi ase
Bring it to me.,osor dey anivi
Who is hungry?, kun bhuuk laki ase?
I think we can.,moi  bhaba moikhan jitivole barivo
Boats can sink.,boats toh duube
Are you famous?,tui famous ase?
He was in pain.,tai duk dey thakise
He's not ready.,tai ready nai
What happened?,ki hoise?
I'm vegetarian.,moi vegetarian ase
I believed you.,moi tuike believe kure
You're bright.,tui dimag bhal ase
We need proof.,moikhan ke proof lake
I hate Mondays.,moi Monday khin lake
We're too old.,moikhan toh olop pura hoi ase
I gave it away.,moi didise
We were lucky.,moi khan ke gopal thakise
He came by bus.,tai bus bara ahise
He is powerful.,tai powerful ase
I usually walk.,moi bishi bhaak toh berai
I'd be honored.,moi honored hoi javo
We could read.,moi khan burivole bari thakise
He likes jelly.,tai jelly kushi bai
I want a chair.,moi ke chair divi
I love cookies.,moi cookies kushi bai
I love animals.,moi animals kushi bai
I'm fascinated.,moi fascinate hoise
Drink some tea.,chaa olop kahvi
We want candy.,moikhan cke candy lake
I love parties.,moi parties kushi bai
I'm not a fool.,moi dimag nathaka manu nahoi
I'm doing fine.,moi thik ase
I like mahjong.,moi mahjong kushi bai
Check this out.,eitu sai savi
I borrow money.,moi poisa loise
I like to swim.,moi swim kurivole kushi bai
He's too drunk.,tai bishi oethina ase
How's it going?,kina jai ase?
He likes money.,tai poisa kushi bai
We are at war.,moikhan war dey ase
I love you all.,moi tuikhan sob ke kushi bai
He will not go.,tai najvo
I'm dependable.,moi manu ke bishi bhabe
I need a favor.,moike favor lake
Give me a kiss.,moike kiss divi
We're in luck.,moi khan ke luck bishi ase
We'll all die.,moi khan sob murivole ase
He respects me.,tai moike respect kure
Contact my son.,moila baccha ke lok bavi
Did you say 30?,tui 30 koise?
Give him a hug.,taike hug divi
Get in the car.,car bhidor javi
I must see you.,moi tuike savole lake
Did I say that?,moi eitu koise?
Was that a no?,ki eitu toh no thakise?
You're a snob.,tui snob ase
Go back to bed.,bisna wapas javi
I am exhausted.,moi duk baina ase
I remember you.,moi yaat ase tuike
Are you hungry?,tui bhuuk laki ase?
I'll be around.,moi wapas ahi thakivo
I was a member.,moi bhu ekjun maanu thakise
I want to play.,moi khilibbole mon ase
How did you do?,tui kina kurise?
I feel so cold.,moi thanda laki ase
I had to do it.,moi alchi lake kurivole
You work hard.,tui thik thak kaam kure 
I like cookies.,moi cookies kushi bai
I travel light.,moilight travel kuri
I felt excited.,moi excited feel kurise
I am a student.,moi student ase
I turned right.,moi right loi se
You look busy.,tui kaam thaka nisana mile
Can I see that?,moi eitu  savole barivo?
I have a ranch.,moike ranch ase
I'm dehydrated.,moi dehydrate hoise
I'm still busy.,moi eitiya bhi kaam ase
Grab your gear.,tuila saaman thurivi
He has to come.,tai ahivole lake
We're certain.,moi khan toh ekdam jani ase
We're useless.,moi khan kam nai
I have hiccups.,moi ke hiccups ase
I'll go myself.,moi ekla javo
He can't count.,tai count kurivole napare
We're staying.,moikhan rukhi ase
We're waiting.,moi khan rukhi ase
He is a doctor.,tai doctor ase
I'm farsighted.,moi durr la nathike
He has changed.,tai changed hoise
We're not old.,moi khan bura buri howa nai
I didn't flunk.,moi flunk kura nai
We're married.,moikhan toh married ase
Don't touch me!,moi ke nachoi vi
I'm untalented.,moi eiku napare
I'm doing well.,moi thik kuri ase
I'm happy here.,moi yaati kushi ase
I had a vision.,moi vision toh thalkise
I said nothing.,moi eiku kwa nai
I hate Sundays.,moi sundays khin lake
We're relaxed.,moikha relaxed ase
Was it a joke?,ki eitu joke thakise?
He deceived me.,tai moike jokaise
I ate too much.,moi bishi khaise
We need sleep.,moi khan gomavole lake
We need rules.,moi khan ke rules lake
Don't say that.,eitu nakovi
You must come.,tui ahivole lake
He's in prison.,tai prison dey ase
I'm a free man.,moi toh freee manu ase
I got arrested.,moi ke thurise
I promised Tom.,moi tom ke promise kurise
We're smashed.,moi khan ke toh maridise
He keeps a cat.,tai billi raake
You'll go far.,tui duur javo
He seems angry.,tai gussa dikeh ase
He is Japanese.,tai japanese ase
I love my home.,moila khor kushi bai
I'll marry you.,moi tuike marry kurivo
I kept my word.,moila khota raakhise
You'd love it.,tui kushi bavo
He counts fast.,tai jolti bureh
I like running.,moi bolaivole kushi bai
I'm not guilty.,moi galti kura nai
I'm not racist.,moi racist nai
I like turtles.,moi turtle kushi bai 
He almost died.,tai olop bara mura nai
I'm not joking.,moi khila nahoi
Can you juggle?,tui juggle kurivole bare?
I bought a hat.,moi hat anise
Don't touch it.,nachoibi
I hate driving.,moi driving alchi lake
We admire you.,moi khan tuike kushi bai
Tom's wounded.,tom jokhom baina ase
I'll manage it.,moi kurilobo
I'm eating now.,moi khai ase eitiya
Can you cancel?,tui cancel kuvole barivo?
I can hear Tom.,moi tom ke hunivole bare
I'm not sleepy.,moi gomavo mon nai
I often travel.,moi bishi baak berai thake
I feel for you.,moi tui ke buji ase
He cannot swim.,tai swin kurivole napare
Are you honest?,tui hosa khota koi?
You're a doll!,tui doll ase!
Do I need this?,moike eitu lake?
I'm sure of it.,moi toh sure ase
Don't leave me.,moi ke nacharivi
I gave my word.,moi la khota dise
Was I snoring?,moi snor kuri thakise?
Can I see this?,moi eitu savo dey?
We can't lose.,moi khan naharivole lake
Get on the bus.,bus bhidor javi
I'll stay home.,moi ghor bhidor thakivo
I'd rather die.,moi mura hi muri javo
Eat everything.,Sob khavi
He looked back.,tai wapas saise
I can't go out.,moi bahar javole napare
I was impolite.,moi thik thaka nai
You're unfair.,tui thik nai
I hate working.,moi kaam kura kushi napai
We're reading.,moikhan buri ase
I did have fun.,moi fun toh kurise
We'll survive.,moi khan bajivo
I'm very happy.,moi ekdam kushi ase
Did you go out?,tui bahar jaise?
I'll pray hard.,moi mon dina pray kurivo
He looks young.,tai young dikeh
Will she come?,eitu maiki ahivo?
We're cousins.,moi khan toh khor manu ase
I need a drink.,moike drink lake
He seems tired.,tai duk baina dikeh ase
You're creepy.,tui toh bishi creepy ase
Come down here.,niche dey ahivi
Bring a camera.,camera anivi
Here is a book.,yaate ase kitab
We're winning.,moi khan jiti ase
I'm really old.,moi ekdam bura ase
I am a shy boy.,moi sorom khaa mota ase
I hate to lose.,moi haarivole alchi lake
I gave up hope.,moi hope chari dise
What a bummer!,mon duk hoise dey!
We're winners.,moi khan toh jita manu
He's an author.,tai author ase
I lost the bet.,moi bet haraise
We were right.,moikhan thik thakise
I like puzzles.,moi puzzles kushi bai
I'm from Kyoto.,moi kyoto bara ase
Go get changed.,change kurivi
Come back here.,yaatewapas ahivi
We need water.,moikhan ke paani lake
Everybody paid.,sob manu dise
You're losing.,tui haari ase
I've forgotten.,moi bahorise
I'm all thumbs.,moi sob thumbs ase
I'll try again.,moi aaro gushish kurivo
Check that out.,eitu sai savi toh
He scolded her.,eitu mota bara eitu maiki ke gaali dise
I like reading.,moi burivole kushi bai
Do you love me?,tui moike kushi bai?
Eat more fruit.,fruit bishi khavi
I'm on holiday.,moi chuuti ase
Who's dieting?,kun diet kuri ase?
Were you hurt?,tui jokhom baise?
I'm downstairs.,moi nije dey ase
We understand.,moikhan buji ase
Form two lines.,tuita line boanvi
I'm firing you.,moi tuike olai di ase
Who helps her?,tai ke kun modot kurise?
He's a man now.,tai dangor hoise
He doesn't lie.,tai misa nakoi
I hate spiders.,moi spiders ke khin lake
Don't buy that.,eitu nikinivi
We are doomed.,moikhan doomed ase
I want details.,moike details lake
I've been busy.,moi kaam thakise
I want answers.,moike answer lake
He has a point.,point toh ase taike
I came for you.,moi tui karne ahise
I paid in cash.,moi cash dise
We need a car.,moikhan ke car lake
You were mine.,tui moila thakise
Can I help you?,moi modot kuridivo?
I'm a diabetic.,moi diabetic manu ase
I'm afraid not.,moi bhoikaha thak toh nahoi
I plead guilty.,moi guilty ase koi ase
I work for Tom.,moi tom karne kaam kure
You all right?,tui thik ase?
Dinner's ready.,bhaat ready hoise
I grew up here.,moi yaate dangor hoise
I fed the pigs.,moi pigs ke bhat didise
I need to stop.,moi rukhivole lake
We all change.,moikhan sob change hoi
What a relief!,mon aram baise!
Don't fall off!,nakirivi
Can we come in?,moi ahivo barivo?
I keep my word.,moila khota raakhe
I'm not strong.,moi ke taaqat nai
You're greedy.,tui bishi bisare
We're wealthy.,moi khan dhuni ase
I have a horse.,moike horse ase
You're a liar.,tui misa koi 
Do you know me?,tui moike jaane?
I want to come.,moi bhi ahivole mon ase
I love to read.,moi purivole kushi
I met him once.,moi taike lok baise 
I saw him jump.,moi taike jump marina dikeh sey
I left my wife.,moila wife chari dise
I am an artist.,moi artist ase
I'm the killer.,moi bara muraise
We need tools.,moi khan ke tools lake
I'm against it.,moi toh kushi napai
You are early.,tui jolti ahise.
I'm not a hero.,moi hero nahoi
You needed me.,tui ke moi laki thakise
We all agreed.,moi agree kure
I am Hungarian.,moi hungarian ase
We should eat.,moikhan khavole lake
I'm prejudiced.,moi prejudiced ase
I was studying.,moi buri thakise
I am a tourist.,moi tourist ase
I like working.,moi kaam kura kushi bai
He's not going.,tai najavo
Did you get it?,tui eitu bujise?
I need a knife.,moike knife lake
I'm making tea.,moi chaaa bonai ase
Are you joking?,tui misa koi ase?
We could walk.,moi khan beraivole bari thakise
I'm an old man.,moi bura manu ase
He needs money.,taike poisa lake
I'm not bitter.,moi bitter nahoi
Give me a beer.,moike beer divi
Aren't you hot?,tui ke gorom nai?
We must speak.,moikha khota kovole lake
I'm old enough.,moi eitiya toh dangor hoise
Good afternoon.,din bhaal
He's a gambler.,tai gambler ase
I'm one of you.,moi tuikhan nisana ase
I will sue you.,moi tuike sue kurivo
I love my work.,moila kaam kushi bai
I missed a lot.,moi bishi missed kurise
You're loaded.,tui toh bishi ase
I'm just tired.,moi duk baise
I'll ask later.,moi biche dey hudivo
How much is it?,kiman ase?
I'm out of gas.,moi ke gas nai
I was detained.,moi ke rukhai dise
I followed him.,moi taike follow kurise
I'm optimistic.,moi hotai optimistic thake
You have mail.,tui ke mail ase
I love my kids.,moila bachha kushi bai
Whose is this?,kun la ase?
I like to sing.,moi gaana kawole kushi bai
I really tried.,moi duk baina ase
I was outdoors.,moi bahar thakise
We're unhappy.,moi khan toh kushi nai
Are you lonely?,tui hi ase?
I live in Kobe.,moi kobe dey thake
We're starved.,moi khan toh bhuk laki ase
He is bankrupt.,tai bankrupt hoise
He is a writer.,tai writer ase
I own this car.,eitu kaaari moila ase
I get the idea.,moike idea ase
I'm so thirsty.,moi paani khavole mon ase
We're worried.,moi khan jinta kuri ase
We want to go.,moikhan javole mon ase
Who's winning?,kun jite ase?
He gazed at me.,tai moike gazed kurise
I'm no quitter.,moi najare
Act like a man.,mota nisana thakivi
I like cooking.,moi cooking kushi bai
I was unharmed.,moi chokom banai
I remember her.,moi taike yaate ase
Walk this way.,eitu raasta beravi
I was cleaning.,moi sapha kuri thakise
We must leave.,moi khan jolti javole lake
He talks a lot.,tai bishi khota koi
I kept singing.,moi gaana kai thakise
Can I touch it?,moi thurivole barivo?
Do you like it?,tui kushi baise/
I noticed that.,moi dikeh ase
I feel blessed.,moi toh blessed feel kurise
I hated school.,moi school ke khin lake
I'm very sorry.,moi ekdam maaf
I made muffins.,moi muffins bonaise
Change is good.,change toh bhal ase?
I hate it here.,moi yaate alchi lake
Do we know you?,moi khan tui ke jaane?
He is American.,tai american ase
Who's driving?,kun jolai ase?
I sure am cold.,moi ekdam cold ase
I have to stop.,moi rukhivole lake
I'll scold him.,moi daike gaali divo
I deserve this.,moi deserve kure
I teach French.,moi french hikai
Here is my key.,yaate ase moila jaabi
Who wants tea?,kun ke chaa lake?
Who said that?,kun koise?
I may be wrong.,moi galti thakivo
I'm going back.,moi wapas jai ase
I'm a real man.,moi hosa mota ase
I like flowers.,moi flowers kushi bai
Everybody lies.,sob manu misa koi
He went to bed.,tai bisna dey jaise
Don't leave us.,moikhan ke nacharivi
You're clever.,tui jhalak ase
Were you busy?,tui busy thakise?
I will take it.,moi loi divo
I hate insects.,moi insect alchi lake
Who hired you?,kun oethaise tuike?
I'm not normal.,moi normal nahoi
You're pretty.,tui sundurr ase
I hate ironing.,moi iron kura alchi lake
Did I wake you?,moi tuike oethai dise?
Do it tomorrow.,kali kurivi
He doesn't tan.,tai tan nahoi
We've seen it.,moi khan dikeh se
You're biased.,tui bishi biased ase
You're stupid.,tui dimag nai
He passed away.,tai muri jaise
Can I join you?,moi bhi ahivo?
He is Canadian.,tai canadian ase
I saw the cook.,moi cook ke dikeh se
I said get out.,olai javi kwa
I said shut up!,chuup buhibhi kwa
I'll risk that.,moi eitu toh risk kurivo
What an idiot!,bhuttu ase kwa!
I have nothing.,moike eiku nai
He flew a kite.,tai kite oeraise
I speak French.,moi french koi
I saw her swim.,moi taike swim kurina dikeh se
I'm behind him.,moi taila biche ase
Are you crying?,tui kaanti ase?
I heard voices.,moi ke awaz hunise
I'm contagious.,moi contagious ase
I paid nothing.,moi eiku diya nai
I want a puppy.,moi ke puppy lake
I'm devastated.,moi duk baise
I have a dream.,moike sabna ase
I was speaking.,moi khota koi thakise
I realize that.,moi buji baise
He became rich.,tai rich hoise
I'm rather shy.,moi toh sorom wala ase
"Hurry up, guys.","jolti jol ,saathi khan"
"Coffee, please.","coffee,morom bara"
I want to talk.,moi bhi khota kovole mon ase
He saw it also.,tai bhi dikeh se
How deep is it?,kiman deep ase?
We're unlucky.,moi khan gopal nai
I love lasagna.,moi lasagna kushi bai
Be nice to her.,tai ke bhal bara ase
I'll call them.,moi maati savo
I hate her now.,moi taike khin lake
I like talking.,moi khota govole kushi bai
Go to the park.,park dey javi
I'm stuck here.,moi yaate bhasi na ase
I was too fast.,moi bishi fast thakise
Blow your nose.,naag bhal bara bhilavi
I started that.,moi shuru kuri se eitu toh
I like walking.,moi berai thaka kushi bai
Don't be sorry.,morom nakuiri bi
I keep a diary.,moi diary raakhe
He has left us.,tai moikan ke charise
I'll work hard.,moi mon dina kaam kurivo
I made him cry.,moi taike gaanti vole dise
Get rid of her.,taike chari vi
Can you see it?,tui dikeh?
I predicted it.,moi jani thakise
I have a table.,moike table ase
I have no clue.,moi eiku najane
Did you forget?,tui bahori se?
Guess who I am.,moi kun ase bhabi savi
He also saw it.,tai bara bhi dikeh se
Are you insane?,tui pagla ase?
I'm not crying.,moi kaanta nahoi
I want to help.,moi modot kurivole mon ase
He's all right.,tai thik ase
Everybody left.,sob manu chaarise
How was Boston?,boston kina thakise?
I have the flu.,moike flu ase
I'm unemployed.,moi ke kaam nai
I'm free today.,moi ke eiku kaam nai achi
I'm a nice guy.,moi bhal mota ase
I hate to iron.,moi iron kurivole alchi lake
I wish I could.,moi kuribole barile bhaal
I just gave up.,moi chari dise
I wasn't drunk.,moi matha oethi na thaka nai
I didn't drive.,moi jola nai
I'm not lonely.,moi ekla nahoi
I felt cheated.,moi ke cheat kura nisana lakise
We're in sync.,moi khan toh sync dey ase
Can I eat this?,moi eitu khavole barivo?
I love reading.,moi purivole kushi bai
You are sharp.,tui dimag bhal ase
I am very tall.,moi bishi lamba ase
We must hurry.,moikhan jolti kurivole lake
I can help Tom.,moi tom ke modot kurivole barivo
You need this.,tui ke eitu  lake
I let you down.,moi tui ke niche kurise
I'm not asleep.,moi gomania
I won't return.,moi wapas nahibo
I wasn't hired.,moi oetha nai
I'm methodical.,moi methodical ase
I need you now.,moike tui lake eitiya
We're serious.,moikhan serious ase
I do know that.,moi bhi jani thakise
Call a plumber.,plumber ke madivi
I painted that.,moi bara paint kurise
I feel nothing.,moi ke eiku feel nakure
I love it here.,moi yaate kushi bai
He was perfect.,tai perfect thakise
I didn't argue.,moi argue kura nai
I'll guide you.,moi tuike raata dikhavo
"A coke, please.","ekta coke ,morom bara"
He can't drive.,tai drive kurivole napare
I want a raise.,moike raise lake
He deserved it.,tai ke laki thakise
I saw the file.,moi file ke dikeh se
I wear glasses.,moi glasses lakai
Are you afraid?,tui bhoii khai ase?
Try to resist.,resist kurivole try kurivi
I sell flowers.,moi flowers bikai
I hiccup a lot.,moi hiccup bishi kure
I'll wait here.,moi yaate rukhivo
I hate lawyers.,moi lawyers ke khin lake
I owe him $100.,100dollar loi kina dikeh se
I can't use it.,moi use kurivole napare
I need a stamp.,moike stamp lake
I lost my keys.,moi keys haraise
We're sinking.,moi khan dube ase
I want to quit.,moi chaari vole mon ase
I need friends.,moike saathi laake
I feel honored.,moi honored feel kure
He has a lunch.,taike lunch ase
How long is it?,kiman lamba ase?
We never lose.,moikhan nahare
We missed you.,moi khan tui ke yaat ahi thakise
I take it back.,moi wapas loi ase
You're sleepy.,tui gomavo mon ase
What'll we do?,moi khan ki kurivo?
We don't know.,moi khan najane
I'll just wait.,moi eina rukhivo
Autumn is here.,autumn toh ahise
Here she comes.,eitu maiki ahi ase
I sneeze a lot.,moi sneeze bishi kure
Happy New Year!,kushi ba nutun saal
Do I annoy you?,moi tuike disturb kure?
He is a genius.,tai genious ase
I like to talk.,moi khota kovole kushi bai
He can't do it.,tai naparivo kurivole
I got divorced.,moi divorce hoise
How did it end?,kina khotom hoise/
Where is Mary?,mary kute ase?
We'll both go.,moijun bhi javo
He's a slacker.,tai bishi alchi manu ase
I just met him.,moi taike eitiya lok baise
What about us?,moi khan la toh kina?
I'm right here.,moi yate ase
I am in a spot.,moi bhi duk det ase
I will survive.,moi namurivo
I'm not skinny.,moi patla nai
We'll find it.,moi khan bara bisarivo
I was barefoot.,moi theng khaali thakise
Watch my back.,moila biche savi
You are drunk!,tui oethina ase?
We need money.,moikhan ke map lake
Hi! What's new?,"hi,ki nutun kuri ase"
Happy birthday!,jonom baa din kushi 
You're crafty.,tui crafty ase
I saw it on TV.,moi tv ke dikeh se
Are we sinking?,moi khan dubii ase?
I want a donut.,moi ke donut lake
We want peace.,moikhan ke peace lake
Don't you care?,morom nakure?
I ran upstairs.,moi opor dey bolai se
I must protest.,moi protest kurivole lake
I need a snack.,moike snack lake
Do not do that.,eitu nakurivi
I love the sun.,moi sun kushi bai
Can I sit down?,moi buhivo barivo?
I need answers.,moike answer lake
He was stunned.,tai hila napara hoise
He wants to go.,tai javole mon ase
I'm wide awake.,moi oethina ase
I was careless.,moi thik bara thakania
I'll go change.,moi change kuri savo
Come back home.,khor wapas ahivi
You're sneaky.,tui bishi sneaky ase
You can do it.,tui kurivole barivo
I didn't do it.,moi bara kura nai
I need support.,moike support lake
He felt uneasy.,tai uneasy feel hoise
I love to cook.,moi cook kurivole kushi bai
He's depressed.,tai mon duk dey ase
I was offended.,moi kushi baania
I smell coffee.,moi coffee khuntai
